Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2029-01-01,New Year's Day,New Year's Day,LS,False,True,,Public,
2029-03-11,Moshoeshoe Day,Moshoeshoe Day,LS,False,True,,Public,
2029-03-30,Good Friday,Good Friday,LS,False,True,,Public,
2029-04-02,Easter Monday,Easter Monday,LS,False,True,,Public,
2029-05-01,Workers' Day,Workers' Day,LS,False,True,,Public,
2029-05-10,Ascension Day,Ascension Day,LS,False,True,,Public,
2029-05-25,Africa Day/ Heroes' Day,Africa Day/ Heroes' Day,LS,False,True,,Public,
2029-07-17,King Letsie III's Birthday,King Letsie III's Birthday,LS,False,True,,Public,
2029-10-04,Independence Day,Independence Day,LS,False,True,,Public,
2029-12-25,Christmas Day,Christmas Day,LS,False,True,,Public,
2029-12-26,St. Stephen's Day,Boxing Day,LS,False,True,,Public,
