Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2020-01-01,Le jour de l’An,New Year's Day,MC,False,True,,Public,
2020-01-27,La Sainte Dévote,Saint Devota's Day,MC,False,True,,Public,
2020-04-13,Easter Monday,Easter Monday,MC,False,True,,Public,
2020-05-01,Le 1er mai,May Day,MC,False,True,,Public,
2020-05-21,L’Ascension,Ascension Day,MC,False,True,,Public,
2020-06-01,Le lundi de Pentecôte,Whit Monday,MC,False,True,,Public,
2020-06-11,La Fête Dieu,Corpus Christi,MC,False,True,,Public,
2020-08-15,L'Assomption de Marie,Assumption Day,MC,False,True,,Public,
2020-11-01,La Toussaint,All Saints Day,MC,False,True,,Public,
2020-11-19,La Fête du Prince,National Day,MC,False,True,,Public,
2020-12-08,L’Immaculée Conception,The Immaculate Conception,MC,False,True,,Public,
2020-12-25,Noël​,​Christmas Day,MC,False,True,,Public,
