Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2021-01-01,"Нова Година, Nova Godina",New Year's Day,MK,False,True,,Public,
2021-01-07,"Прв ден Божик, Prv den Božik",Christmas Day,MK,False,True,,Public,
2021-04-30,"Велики Петок, Veliki Petok",Good Friday,MK,False,True,,Public,
2021-05-01,"Ден на трудот, Den na trudot",Labour Day,MK,False,True,,Public,
2021-05-02,"Прв ден Велигден, Prv den Veligden",Easter Sunday,MK,False,True,,Public,
2021-05-03,"Втор ден Велигден, Vtor den Veligden",Easter Monday,MK,False,True,,Public,
2021-05-24,"Св. Кирил и Методиј, Ден на сèсловенските просветители",Saints Cyril and Methodius Day,MK,False,True,,Public,
2021-08-02,"Ден на Републиката, Den na Republikata",Day of the Republic,MK,False,True,,Public,
2021-09-08,"Ден на независноста, Den na nezavisnosta",Independence Day,MK,False,True,,Public,
2021-10-11,"Ден на востанието, Den na vostanieto",Revolution Day,MK,False,True,,Public,
2021-10-23,"Ден на македонската револуционерна борба,Den na makedonskata revolucionarna borba",Day of the Macedonian Revolutionary Struggle,MK,False,True,,Public,
2021-12-08,"Св. Климент Охридски, Sv. Kliment Ohridski",Saint Clement of Ohrid Day,MK,False,True,,Public,
