Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2023-01-01,New Year's Day,New Year's Day,MS,False,True,,Public,
2023-03-17,Saint Patrick's Day,Saint Patrick's Day,MS,False,True,,Public,
2023-04-07,Good Friday,Good Friday,MS,False,True,,Public,
2023-04-10,Easter Monday,Easter Monday,MS,False,True,,Public,
2023-05-01,Labour Day,Labour Day,MS,False,True,,Public,
2023-05-29,Whit Monday,Whit Monday,MS,False,True,,Public,
2023-06-12,Queen's Birthday,Queen's Birthday,MS,False,True,,Public,
2023-08-07,Emancipation Day,Emancipation Day,MS,False,True,,Public,
2023-12-25,Christmas Day,Christmas Day,MS,False,True,,Public,
2023-12-26,St. Stephen's Day,Boxing Day,MS,False,True,,Public,
2023-12-31,Festival Day,Festival Day,MS,False,True,,Public,
