Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2024-01-01,L-Ewwel tas-Sena,New Year's Day,MT,False,True,,Public,
2024-02-10,In-Nawfraġju ta’ San Pawl,Feast of St. Paul's Shipwreck,MT,False,True,,Public,
2024-03-19,San Ġużepp,Feast of St. Joseph,MT,False,True,,Public,
2024-03-29,Il-Ġimgħa l-Kbira,Good Friday,MT,False,True,,Public,
2024-03-31,Jum il-Ħelsien,Freedom Day,MT,False,True,,Public,
2024-05-01,Jum il-Ħaddiem,Worker's Day,MT,False,True,,Public,
2024-06-07,Sette Giugno,Sette Giugno,MT,False,True,,Public,
2024-06-29,L-Imnarja,Feast of St.Peter and St.Paul,MT,False,True,,Public,
2024-08-15,Santa Marija,Assumption Day,MT,False,True,,Public,
2024-09-08,Il-Vittorja,Feast of Our Lady of Victories,MT,False,True,,Public,
2024-09-21,L-Indipendenza,Independence Day,MT,False,True,,Public,
2024-12-08,L-Immakulata Kunċizzjoni,Feast of the Immaculate Conception,MT,False,True,,Public,
2024-12-13,Jum ir-Repubblika,Republic Day,MT,False,True,,Public,
2024-12-25,Il-Milied​,​Christmas Day,MT,False,True,,Public,
