Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2020-01-01,New Year's Day,New Year's Day,NG,False,True,,Public,
2020-04-10,Good Friday,Good Friday,NG,False,True,,Public,
2020-04-13,Easter Monday,Easter Monday,NG,False,True,,Public,
2020-05-01,Workers' Day,Workers' Day,NG,False,True,,Public,
2020-05-27,Children's Day,Children's Day,NG,False,True,,Public,
2020-06-12,Democracy Day,Democracy Day,NG,False,True,,Public,
2020-10-01,National Day,National Day,NG,False,True,,Public,
2020-11-01,National Youth Day,National Youth Day,NG,False,True,,Public,
2020-12-25,Christmas Day,Christmas Day,NG,False,True,,Public,
2020-12-26,Boxing Day,Boxing Day,NG,False,True,,Public,
