Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2025-01-01,Nieuwjaarsdag,New Year's Day,NL,False,True,,Public,
2025-04-18,Goede Vrijdag,Good Friday,NL,False,True,,Public,
2025-04-20,Eerste Paasdag,Easter Sunday,NL,False,True,,Public,
2025-04-21,Tweede Paasdag,Easter Monday,NL,False,True,,Public,
2025-04-27,Koningsdag,King's Day,NL,False,True,,Public,
2025-05-05,Bevrijdingsdag,Liberation Day,NL,False,True,,"School, Authorities",
2025-05-29,Hemelvaartsdag,Ascension Day,NL,False,True,,Public,
2025-06-08,Eerste Pinksterdag,Pentecost,NL,False,True,,Public,
2025-06-09,Tweede Pinksterdag,Whit Monday,NL,False,True,,Public,
2025-12-25,Eerste Kerstdag,Christmas Day,NL,False,True,,Public,
2025-12-26,Tweede Kerstdag,St. Stephen's Day,NL,False,True,,Public,
