Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2024-01-01,Første nyttårsdag,New Year's Day,NO,False,True,,Public,
2024-03-28,Skjærtorsdag,Maundy Thursday,NO,False,True,,Public,
2024-03-29,Langfredag,Good Friday,NO,False,True,,Public,
2024-03-31,Første påskedag,Easter Sunday,NO,False,True,,Public,
2024-04-01,Andre påskedag,Easter Monday,NO,False,True,,Public,
2024-05-01,Første mai,Labour Day,NO,False,True,,Public,
2024-05-09,Kristi himmelfartsdag,Ascension Day,NO,False,True,,Public,
2024-05-17,Syttende mai,Constitution Day,NO,False,True,,Public,
2024-05-19,Første pinsedag,Pentecost,NO,False,True,,Public,
2024-05-20,Andre pinsedag,Whit Monday,NO,False,True,,Public,
2024-12-25,Første juledag,Christmas Day,NO,False,True,,Public,
2024-12-26,Andre juledag,St. Stephen's Day,NO,False,True,,Public,
