Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2026-01-01,New Year's Day,New Year's Day,PA,False,True,,Public,
2026-01-09,Martyr's Day,Martyr's Day,PA,False,True,,Public,
2026-02-16,Carnival,Carnival,PA,False,True,,Public,
2026-02-17,Carnival,Carnival,PA,False,True,,Public,
2026-04-03,Good Friday,Good Friday,PA,False,True,,Public,
2026-05-01,Labour Day,Labour Day,PA,False,True,,Public,
2026-11-03,Separation Day,Separation Day,PA,False,True,,Public,
2026-11-04,Flag Day,Flag Day,PA,False,True,,Public,
2026-11-05,Colón Day,Colon Day,PA,False,True,,Public,
2026-11-10,Shout in Villa de los Santos,Shout in Villa de los Santos,PA,False,True,,Public,
2026-11-28,Independence Day,Independence Day,PA,False,True,,Public,
2026-12-08,Mothers' Day,Mothers' Day,PA,False,True,,Public,
2026-12-25,Christmas Day,Christmas Day,PA,False,True,,Public,
