Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2021-01-01,New Year's Day,New Year's Day,PG,False,True,,Public,
2021-04-02,Good Friday,Good Friday,PG,False,True,,Public,
2021-04-03,Holy Saturday,Holy Saturday,PG,False,True,,Public,
2021-04-04,Easter Sunday,Easter Sunday,PG,False,True,,Public,
2021-04-05,Easter Monday,Easter Monday,PG,False,True,,Public,
2021-06-14,Queen's Birthday,Queen's Birthday,PG,False,True,,Public,
2021-07-23,Remembrance Day,Remembrance Day,PG,False,True,,Public,
2021-08-26,Repentance Day,Repentance Day,PG,False,True,,Public,
2021-09-16,Independence Day,Independence Day,PG,False,True,,Public,
2021-12-25,Christmas Day,Christmas Day,PG,False,True,,Public,
2021-12-26,St. Stephen's Day,Boxing Day,PG,False,True,,Public,
