Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2025-01-01,Nowy Rok,New Year's Day,PL,False,True,,Public,
2025-01-06,Święto Trzech Króli,Epiphany,PL,False,True,,Public,
2025-04-20,Wielkanoc,Easter Sunday,PL,False,True,,Public,
2025-04-21,Drugi Dzień Wielkanocy,Easter Monday,PL,False,True,,Public,
2025-05-01,Święto Pracy,May Day,PL,False,True,,Public,
2025-05-03,Święto Narodowe Trzeciego Maja,Constitution Day,PL,False,True,,Public,
2025-06-08,Zielone Świątki,Pentecost,PL,False,True,,Public,
2025-06-19,Boże Ciało,Corpus Christi,PL,False,True,,Public,
2025-08-15,Wniebowzięcie Najświętszej Maryi Panny,Assumption Day,PL,False,True,,Public,
2025-11-01,Wszystkich Świętych,All Saints' Day,PL,False,True,,Public,
2025-11-11,Narodowe Święto Niepodległości,Independence Day,PL,False,True,,Public,
2025-12-25,Boże Narodzenie,Christmas Day,PL,False,True,,Public,
2025-12-26,Drugi Dzień Bożego Narodzenia,St. Stephen's Day,PL,False,True,,Public,
