Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2022-01-01,Nyårsdagen,New Year's Day,SE,False,True,,Public,
2022-01-06,Trettondedag jul,Epiphany,SE,False,True,,Public,
2022-04-15,Långfredagen,Good Friday,SE,False,True,,Public,
2022-04-17,Påskdagen,Easter Sunday,SE,False,True,,Public,
2022-04-18,Annandag påsk,Easter Monday,SE,False,True,,Public,
2022-05-01,Första maj,International Workers' Day,SE,False,True,,Public,
2022-05-26,Kristi himmelsfärdsdag,Ascension Day,SE,False,True,,Public,
2022-06-05,Pingstdagen,Pentecost,SE,False,True,,Public,
2022-06-06,Sveriges nationaldag,National Day of Sweden,SE,False,True,,Public,
2022-06-24,Midsommarafton,Midsummer Eve,SE,False,True,,Public,
2022-06-25,Midsommardagen,Midsummer Day,SE,False,True,,Public,
2022-11-05,Alla helgons dag,All Saints' Day,SE,False,True,,Public,
2022-12-24,Julafton,Christmas Eve,SE,False,True,,Public,
2022-12-25,Juldagen,Christmas Day,SE,False,True,,Public,
2022-12-26,Annandag jul,St. Stephen's Day,SE,False,True,,Public,
2022-12-31,Nyårsafton,New Year's Eve,SE,False,True,,Public,
