Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2020-01-01,New Year's Day,New Year's Day,SG,False,True,,Public,
2020-01-25,Chinese New Year,Chinese New Year,SG,False,True,,Public,
2020-01-26,Chinese New Year,Chinese New Year,SG,False,True,,Public,
2020-04-10,Good Friday,Good Friday,SG,False,True,,Public,
2020-05-01,Labour Day,Labour Day,SG,False,True,,Public,
2020-05-07,Vesak Day,Vesak Day,SG,False,True,,Public,
2020-05-24,Hari Raya Puasa,Hari Raya Puasa,SG,False,True,,Public,
2020-07-31,Hari Raya Haji,Hari Raya Haji,SG,False,True,,Public,
2020-08-09,National Day,National Day,SG,False,True,,Public,
2020-11-14,Deepavali,Deepavali,SG,False,True,,Public,
2020-12-25,Christmas Day,Christmas Day,SG,False,True,,Public,
