Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2019-01-01,Første nyttårsdag,New Year's Day,SJ,False,True,,Public,
2019-04-18,Skjærtorsdag,Maundy Thursday,SJ,False,True,,Public,
2019-04-19,Langfredag,Good Friday,SJ,False,True,,Public,
2019-04-21,Første påskedag,Easter Sunday,SJ,False,True,,Public,
2019-04-22,Andre påskedag,Easter Monday,SJ,False,True,,Public,
2019-05-01,Første mai,May Day,SJ,False,True,,Public,
2019-05-17,Syttende mai,Constitution Day,SJ,False,True,,Public,
2019-05-30,Kristi himmelfartsdag,Ascension Day,SJ,False,True,,Public,
2019-06-09,Første pinsedag,Pentecost,SJ,False,True,,Public,
2019-06-10,Andre pinsedag,Whit Monday,SJ,False,True,,Public,
2019-12-25,Første juledag,Christmas Day,SJ,False,True,,Public,
2019-12-26,Andre juledag,Second day of Christmas,SJ,False,True,,Public,
