Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2020-01-01,New Year's Day,New Year's Day,SM,False,True,,Public,
2020-01-06,Epiphany,Epiphany,SM,False,True,,Public,
2020-02-05,Feast of Saint Agatha,Feast of Saint Agatha,SM,False,True,,Public,
2020-03-25,Anniversary of the Arengo,Anniversary of the Arengo,SM,False,True,,Public,
2020-04-12,Easter Sunday,Easter Sunday,SM,False,True,,Public,
2020-04-13,Easter Monday,Easter Monday,SM,False,True,,Public,
2020-05-01,Labour Day,Labour Day,SM,False,True,,Public,
2020-06-11,Corpus Christi,Corpus Christi,SM,False,True,,Public,
2020-07-28,Liberation from Fascism,Liberation from Fascism,SM,False,True,,Public,
2020-08-15,Ferragosto (Assumption),Ferragosto (Assumption),SM,False,True,,Public,
2020-09-03,The Feast of San Marino and the Republic,The Feast of San Marino and the Republic,SM,False,True,,Public,
2020-11-01,All Saints' Day,All Saints' Day,SM,False,True,,Public,
2020-11-02,Commemoration of all those who died at war,Commemoration of all those who died at war,SM,False,True,,Public,
2020-12-08,Immaculate Conception,Immaculate Conception,SM,False,True,,Public,
2020-12-24,Christmas Eve,Christmas Eve,SM,False,True,,Public,
2020-12-25,Christmas Day,Christmas Day,SM,False,True,,Public,
2020-12-26,St. Stephen's Day,St. Stephen's Day,SM,False,True,,Public,
2020-12-31,New Year's Eve,New Year's Eve,SM,False,True,,Public,
