Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2026-01-01,Новий Рік,New Year's Day,UA,False,True,,Public,
2026-01-07,Різдво,(Julian) Christmas,UA,False,True,,Public,
2026-03-08,Міжнародний жіночий день,International Women's Day,UA,False,True,,Public,
2026-04-12,Великдень,Easter Sunday,UA,False,True,,Public,
2026-05-01,День праці,International Workers' Day,UA,False,True,,Public,
2026-05-09,День перемоги над нацизмом у Другій світовій війні,Victory day over Nazism in World War II,UA,False,True,,Public,
2026-05-31,Трійця,Pentecost,UA,False,True,,Public,
2026-06-28,День Конституції,Constitution Day,UA,False,True,,Public,
2026-08-24,День Незалежності,Independence Day,UA,False,True,,Public,
2026-10-14,День захисника України,Defender of Ukraine Day,UA,False,True,,Public,
2026-12-25,Різдво,(Gregorian and Revised Julian) Christmas,UA,False,True,,Public,
