Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2020-01-01,Día de Año Nuevo,New Year's Day,VE,False,True,,Public,
2020-01-06,Día de Reyes,Epiphany,VE,False,True,,Public,
2020-01-14,Día de la Divina Pastora,Feast of the Divina Pastora,VE,False,True,,Public,
2020-01-15,Día del Maestro,Teacher's Day,VE,False,True,,Public,
2020-02-12,Día de la Juventud,Youth Day,VE,False,True,,Public,
2020-02-20,Dia de la Federacion,Federation Day,VE,False,True,,Public,
2020-02-24,Carnaval,Carnival,VE,False,True,,Public,
2020-02-25,Carnaval,Carnival,VE,False,True,,Public,
2020-03-08,Dia Internacional de la Mujer,International Women's Day,VE,False,True,,Public,
2020-03-19,Día de San José,St Joseph's Day,VE,False,True,,Public,
2020-03-21,Día del abolición de la esclavitud,Slavery Abolition Anniversary,VE,False,True,,Public,
2020-03-31,Aniversario del fundacion del San Cristóbal,"Foundation anniversary Day of San Cristóbal, Táchira",VE,False,True,,Public,
2020-04-19,Diez y nueve de abril,Beginning of the Independence Movement,VE,False,True,,Public,
2020-05-01,Día del Trabajador,Labor Day,VE,False,True,,Public,
2020-05-03,Día del Cruz del Mayo,Fiesta de las Cruces,VE,False,True,,Public,
2020-05-10,Día de las Madres,Mother's Day,VE,False,True,,Public,
2020-06-21,Día de los Padres,Father's Day,VE,False,True,,Public,
2020-06-24,Día de San Juan Bautista y aniversario de la Batalla de Carabobo,Army Day,VE,False,True,,Public,
2020-06-27,Día del Periodista y aniversario de la instauración del Decreto de Instrucción pública gratuita y obligatoria,Journalists' Day,VE,False,True,,Public,
2020-07-05,Cinco de julio,Independence Day,VE,False,True,,Public,
2020-07-19,Dia del niño,Children's Day,VE,False,True,,Public,
2020-07-24,"Natalicio del Libertador, Dia de la Armada Nacional",Navy Day,VE,False,True,,Public,
2020-07-25,Aniversario del fundacion del Caracas,Caracas City Foundation Day,VE,False,True,,Public,
2020-08-03,Día de la Bandera,Flag Day,VE,False,True,,Public,
2020-09-08,"Día del Virgen del Valle, aparicion del Virgen del Coromoto",Birth of the Blessed Virgin Mary and feasts of the Virgen del Valle and Our Lady of Coromoto,VE,False,True,,Public,
2020-09-24,Día del Virgen de las Mercedes,Feast of the Our Lady of Mercy,VE,False,True,,Public,
2020-10-12,Día de la Resistencia Indígena,Day of Indigenous Resistance,VE,False,True,,Public,
2020-11-01,Día de Todos los Santos,All Saints' Day,VE,False,True,,Public,
2020-11-02,Día de los fieles difuntos,All Souls' Day,VE,False,True,,Public,
2020-11-17,Feria de la Chinita,Feria of La Chinita,VE,False,True,,Public,
2020-11-18,Feria de la Chinita,Feria of La Chinita,VE,False,True,,Public,
2020-11-19,Feria de la Chinita,Feria of La Chinita,VE,False,True,,Public,
2020-11-21,Día del estudiante universitario,University Students Day,VE,False,True,,Public,
2020-12-08,"Inmaculada Concepción, Dia de la Lealtad","Immaculate Conception, Loyalty Day",VE,False,True,,Public,
2020-12-17,Aniversario de la muerte de Libertador Simon Bolivar,Simon Bolivar Memorial Day,VE,False,True,,Public,
2020-12-24,Nochebuena,Christmas Eve,VE,False,True,,Public,
2020-12-25,Navidad,Christmas Day,VE,False,True,,Public,
2020-12-31,Nochevieja,New Year's Eve,VE,False,True,,Public,
